GeneID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
ENSDARG00000000489,0,0,0,0,0,2.837734,0.547607,0,2.641788,0.715974,3.88571,0,2.141796,0.585742,5.016211,2.322332,10.704178,15.293845,19.599159,21.669609,16.671764,23.172928,22.608618,24.859236,13.37037,28.214178,17.938643,18.751627,16.522993,13.06704,14.67464,9.557923,7.977173,12.789159,6.491162,3.948235,6.458666,0.910939,0.750898,0,1.301103,0,0,0,1.027853,0,0.65249,0.765395,0,0
ENSDARG00000000529,0,0,0,0,0,0,0,0,0,2.147922,7.771421,0,0.792627,1.544871,1.232208,2.805072,6.107751,13.224496,12.260511,13.188958,9.274009,16.018883,10.297199,12.092741,12.006784,11.110766,8.878546,11.359089,8.145985,10.852652,11.951237,5.149298,3.104948,3.433613,2.672593,1.549135,3.235373,0,1.480808,0.852599,0.359081,0.458017,0,0.545596,0.715019,1.272652,0,0.458285,0,0.867891
ENSDARG00000000540,0,0.733342,0,3.137798,1.553575,2.837734,0,0.972171,0,2.147922,0,0,0.792627,1.029914,1.848312,3.947964,7.546775,19.756317,10.004645,14.892836,11.568732,11.797657,13.365059,9.960472,11.818095,8.456751,11.417887,9.812861,10.021996,7.581664,5.723316,5.812585,4.741934,2.700613,3.736041,1.446987,0.449104,2.552101,1.183349,0.520338,0,0,0,0,0,0,0,0.458285,0.983835,0
ENSDARG00000000542,1.272823,0.733342,1.089038,0,0,0,0.547607,0,0,1.431948,0,0,1.070898,3.089742,1.583949,5.48489,12.05521,15.22781,17.653679,22.053196,18.81625,16.860929,15.192182,14.624931,9.917598,16.605425,17.058355,13.105358,14.126209,15.900257,12.924875,10.183571,1.398685,7.187368,1.546481,2.708927,1.875983,2.870193,1.190344,0,0.598124,0.676333,0,0.714057,1.027853,0,0,0.458285,0,0
ENSDARG00000000567,1.272823,0.733342,0,1.045933,0,2.837734,0.547607,2.916513,2.641788,2.147922,1.942855,0,10.304145,3.089742,5.896677,14.025359,24.456018,28.684839,60.973568,58.330624,51.358963,51.706657,51.231503,31.020384,44.826347,42.14706,48.267452,44.13681,46.417152,41.32513,28.969114,14.859712,22.042212,11.22286,13.610547,8.99513,4.459616,2.277347,1.105359,0,2.378345,0,1.546386,0.714057,0.715019,0.636326,0,0,0,0
ENSDARG00000000568,0,0,0,1.045933,0,0,2.738033,0,1.761192,0.715974,1.942855,0,1.070898,0,1.848312,3.859258,5.149841,9.76368,10.298642,15.407188,13.24198,10.403701,8.157989,13.152428,10.933009,7.451979,9.102708,12.339389,10.670063,14.779336,9.186337,6.011611,3.966666,3.933229,6.075802,8.558005,4.459449,0,1.112355,0,2.138271,3.569936,2.535942,1.259653,0,3.223939,5.658391,1.22368,2.447598,0.867891
ENSDARG00000000588,0,0,0,0,0,0,0.547607,0,0,0,0,0,0,0,0,0.232233,1.267358,1.753248,3.430007,2.667539,4.868421,1.496835,0.437108,0.689415,1.046313,1.670919,2.081877,4.280099,1.594701,2.697082,2.522966,2.288271,2.195583,1.840268,1.338801,1.344838,1.033353,0,0,0.664522,0.359081,0,2.149345,0,0,0,0,0,0,0
ENSDARG00000000729,0,2.200027,1.089038,1.045933,1.553575,0,1.64282,0.972171,4.40298,0.715974,1.942855,12.717024,4.241404,1.544871,1.232208,6.98527,18.622089,13.398032,22.012993,25.178364,26.003061,23.02754,24.307129,23.537638,24.277662,26.392788,27.902113,19.526505,18.222721,24.000372,16.512308,10.51975,15.646769,11.18427,8.400534,7.570775,5.437224,7.747678,4.435429,2.181643,2.856432,2.636758,0.773193,0.545596,1.027853,3.202785,1.304979,1.53079,2.423621,0
ENSDARG00000000760,0,0,0,0,0,2.837734,0,0,0,0,0,0,0,0,6.071435,2.340605,5.157423,1.753248,4.240285,6.15692,6.075566,7.246254,3.185666,5.050048,4.950226,5.253287,2.626145,2.796967,5.745628,2.725084,5.694185,2.914048,1.892462,0.54975,1.899352,0.309827,0,0.455469,0.368453,0,0,0,0,0,0,0,0,0,1.463763,0
ENSDARG00000000779,0,0.733342,1.089038,3.137798,1.553575,5.675469,0,2.916513,6.164172,0.715974,1.942855,0,2.37788,4.705398,6.248419,7.324483,15.103399,19.42972,27.103106,38.898609,27.842424,34.328819,28.419174,30.529606,33.675545,28.517427,32.801235,24.327499,25.181402,27.752941,16.347898,20.709764,16.777332,9.88221,4.944681,19.537741,9.682294,2.870193,4.513418,4.746195,2.034446,4.982519,2.535942,1.428113,0.513927,2.566459,0.925231,0,1.463763,0
