geneID
"ENSDARG00000063908"
"ENSDARG00000018260"
"ENSDARG00000056012"
"ENSDARG00000009905"
"ENSDARG00000059073"
"ENSDARG00000006110"
"ENSDARG00000036194"
"ENSDARG00000058819"
