geneID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
DjGI000001_001,0,0,0,1,1,1,0,0,0,0,0,4,36,6,1,72,0,1,2,1,68,13,3,36,0,2,5,0,38,38,70,13,10,1,7,6,106,17,100,25,2,0,15,1,31,3,26,10,3,4,2
DjGI000001_002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
DjGI000001_003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_006,0,0,0,0,1,0,9,0,0,0,0,3,3,0,0,2,0,3,10,7,1,7,9,35,0,0,5,1,1,10,2,5,10,0,11,5,29,3,18,19,0,0,4,0,1,2,11,2,0,0,0
DjGI000001_007,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,15,0,0,0,0,0,5,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_009,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_011,0,0,0,0,0,9,0,0,0,0,0,0,1,3,0,25,0,1,17,0,1,5,0,9,0,0,0,0,1,6,6,0,0,2,12,0,1,7,9,10,0,0,6,0,11,5,0,0,0,0,0
DjGI000001_012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_013,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_014,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_016,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,70,0,18,6,0,9,0,5,67,0,0,7,0,1,17,39,0,1,0,29,0,11,10,35,4,8,0,0,0,2,0,0,0,0,0,0
DjGI000001_017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_023,0,0,0,0,0,0,0,0,0,6,0,0,6,1,1,9,0,2,0,0,10,0,0,12,0,0,0,0,2,4,7,0,5,0,0,0,0,2,3,11,0,0,4,0,0,0,0,0,0,0,0
DjGI000001_024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000001_025,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,16,0,3,11,0,1,0,4,25,0,0,0,0,0,3,0,1,0,0,5,0,0,4,4,0,6,0,0,0,0,0,0,0,0,0,0
DjGI000001_026,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,1,0,1,0,0,0,6,0,5,0,0,0,0,0,0,0,7,1,10,0,0,0,2,1,0,0,1,0,0,0,0
DjGI000001_027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,11,0,0,0,0,2,0,7,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,8,0,0,0,0
DjGI000001_028,0,0,0,0,10,5,0,0,0,0,2,10,3,15,1,43,0,12,5,9,14,5,25,81,0,0,1,0,6,37,42,14,9,0,6,0,9,22,65,25,0,0,11,4,1,5,26,2,0,0,0
DjGI000001_029,0,0,0,0,2,0,0,1,0,0,3,1,24,3,0,43,0,8,13,2,47,7,27,42,0,0,1,0,7,55,42,15,22,9,8,3,32,26,57,23,0,1,5,0,8,3,7,1,0,0,0
DjGI000001_030,0,0,1,7,2,1,4,2,0,1,0,4,21,19,0,47,0,3,25,17,21,2,42,51,0,0,1,0,14,28,19,13,17,8,37,8,37,32,58,17,0,0,5,1,9,1,11,5,1,0,0
DjGI000001_031,0,0,3,1,19,9,1,3,0,2,2,5,74,38,12,194,0,20,63,34,90,59,132,304,0,0,26,0,72,156,129,72,84,25,47,25,190,77,271,170,5,1,56,33,101,18,85,14,0,0,12
DjGI000001_032,0,0,0,1,0,1,0,2,0,2,0,4,3,2,6,43,0,4,11,4,40,10,19,38,0,2,6,0,11,24,29,16,8,7,10,5,5,12,39,21,2,2,9,3,11,4,6,1,0,0,1
DjGI000002_001,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DjGI000002_002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000002_003,0,0,0,0,0,3,0,0,0,0,0,12,21,0,0,45,0,0,0,0,66,1,47,32,0,0,0,0,23,22,3,0,18,0,1,0,35,13,31,27,0,0,19,1,7,0,7,0,0,0,0
DjGI000002_004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
