geneID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
DjGI000002_017,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000002_018,2,1,6,0,0,8,9,5,21,1,0,2,14,20,5,9,4,8,0,0,0,14,0,0,0,24,7,14
DjGI000002_019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000002_020,57,46,71,26,44,128,304,90,115,27,96,41,171,222,71,79,134,22,122,74,104,70,70,7,156,170,76,62
DjGI000002_021,4,0,0,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000002_022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DjGI000002_023,0,0,7,0,24,2,5,30,19,1,100,53,130,17,125,25,39,0,3,0,11,0,36,0,22,13,9,0
DjGI000003_001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000003_002,0,0,11,0,0,0,14,23,64,9,31,45,22,24,24,72,116,0,5,17,6,13,15,4,22,0,0,0
DjGI000003_003,0,14,0,0,50,8,41,103,150,2,36,62,67,31,96,119,149,2,39,37,39,17,32,10,56,22,8,0
DjGI000003_004,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
DjGI000003_005,0,0,0,0,58,0,76,151,156,1,114,87,108,86,120,96,256,0,54,29,44,20,58,0,70,0,0,1
DjGI000003_006,0,0,0,0,5,0,38,14,0,0,12,9,7,13,0,35,8,0,1,0,0,0,0,0,0,0,0,0
DjGI000003_007,0,0,0,0,79,0,143,214,219,10,114,180,159,74,295,181,420,0,127,52,133,60,52,34,49,1,11,0
DjGI000003_008,0,0,0,10,30,1,59,61,113,0,65,40,116,16,66,47,145,0,9,33,7,24,47,0,69,0,0,0
DjGI000003_009,0,0,0,0,12,0,24,9,8,3,5,66,63,16,28,8,51,0,8,1,0,0,12,9,0,0,0,0
DjGI000003_010,0,0,0,0,0,0,0,10,3,1,5,13,5,0,8,17,50,0,16,10,1,4,0,0,1,0,0,0
DjGI000003_011,0,0,0,0,0,0,2,7,0,1,10,0,9,0,11,6,8,0,5,2,0,0,0,0,16,0,0,0
DjGI000003_012,0,0,0,11,32,0,18,54,92,0,63,25,51,0,34,82,194,0,30,1,18,0,32,14,22,6,0,0
DjGI000003_013,0,0,8,0,0,0,27,18,56,4,50,8,47,2,53,92,116,0,22,12,0,0,10,6,25,3,1,0
DjGI000003_014,0,0,0,0,16,0,6,15,13,0,17,0,1,0,15,7,48,0,0,0,0,0,5,0,0,0,0,0
DjGI000003_015,0,0,0,0,0,0,3,5,0,0,6,2,12,0,4,5,13,0,0,0,1,0,0,1,4,0,0,0
DjGI000003_016,0,0,0,0,13,0,28,4,21,0,6,29,12,0,10,29,81,0,8,0,1,0,5,0,17,7,0,0
DjGI000003_017,0,0,2,5,96,4,68,43,77,4,83,84,91,67,63,114,111,0,36,22,6,35,13,18,62,0,0,0
DjGI000003_018,0,0,4,13,74,0,129,142,158,1,118,194,216,93,133,91,249,0,40,55,69,35,42,50,83,11,0,12
DjGI000003_019,0,0,0,0,4,0,14,9,35,1,32,20,69,17,23,18,36,0,6,0,5,14,21,15,8,7,0,0
DjGI000003_020,0,0,0,5,23,0,77,27,53,0,46,41,71,3,34,55,126,8,0,21,10,26,19,0,16,22,0,0
DjGI000003_021,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
DjGI000003_022,0,0,0,0,6,0,20,41,13,0,55,42,55,10,43,40,136,0,10,5,17,5,16,3,23,0,0,0
DjGI000003_023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000003_024,0,0,0,0,5,9,53,43,59,9,38,69,36,4,37,56,91,0,38,11,5,6,51,5,34,16,0,0
DjGI000003_025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000003_026,0,17,0,0,1,0,18,2,24,1,17,4,0,23,19,0,62,0,4,2,1,0,3,0,18,0,0,0
DjGI000003_027,0,0,1,7,47,5,47,70,58,4,64,47,54,29,58,59,127,0,53,44,29,50,15,8,24,0,0,0
DjGI000003_028,0,0,0,8,30,0,54,79,123,1,119,89,131,32,109,122,170,0,34,34,59,30,33,21,76,7,0,0
DjGI000003_029,0,0,0,0,23,0,58,10,45,0,47,21,42,1,46,37,89,0,5,8,7,0,8,0,29,0,0,0
DjGI000003_030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000003_031,0,0,0,7,20,0,75,156,240,10,97,134,168,71,230,209,229,0,46,86,112,52,93,27,63,0,0,0
DjGI000004_001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000004_002,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000004_003,19,1,0,14,22,0,115,58,150,7,157,110,306,99,110,78,173,0,58,8,38,13,7,12,38,10,16,0
DjGI000004_004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000004_005,0,0,0,10,8,0,39,8,59,3,31,5,48,26,30,51,74,0,7,13,0,0,0,0,22,10,0,10
DjGI000004_006,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000004_007,0,0,0,0,11,0,64,40,71,4,68,30,78,66,81,31,67,0,18,13,0,0,7,3,24,0,13,0
DjGI000004_008,0,0,0,0,0,0,0,3,0,0,0,7,0,0,1,21,22,0,37,0,1,0,0,0,11,0,0,0
DjGI000004_009,4,0,0,0,0,0,0,1,5,0,1,0,34,0,0,24,17,0,0,0,0,0,12,0,0,1,20,0
DjGI000004_010,11,0,19,12,0,0,31,0,15,0,10,0,12,24,8,0,0,6,0,0,0,0,0,0,0,0,0,11
DjGI000004_011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000004_012,0,0,0,0,0,0,8,1,26,0,0,32,41,7,61,15,29,0,0,0,6,6,0,1,2,0,0,0
DjGI000004_013,0,0,0,0,0,0,5,14,0,0,0,2,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000004_014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000004_015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000004_016,0,0,0,0,0,4,0,2,8,0,0,11,0,2,0,2,13,0,0,0,0,0,0,0,0,0,0,0
DjGI000004_017,0,0,0,0,0,0,7,16,0,0,0,7,5,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000004_018,3,0,3,2,30,0,53,60,90,4,65,57,169,90,105,180,102,17,16,2,22,14,58,0,44,0,16,0
DjGI000004_019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,4,0,6,0,0,0
DjGI000004_020,0,0,0,1,2,0,0,4,7,0,0,0,26,0,12,15,0,0,0,0,5,0,6,0,11,0,0,0
DjGI000004_021,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0
DjGI000005_001,0,13,0,0,0,0,57,85,289,13,274,252,478,175,339,271,315,0,9,15,21,44,19,9,65,0,0,0
DjGI000005_002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000005_003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000005_004,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
DjGI000005_005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000005_006,35,38,49,23,47,36,66,41,50,11,94,32,110,75,42,33,34,19,44,37,63,18,16,14,49,87,32,33
DjGI000005_007,77,116,200,137,207,196,714,262,164,38,263,198,176,279,172,210,175,111,128,174,251,140,67,32,144,193,95,117
DjGI000005_008,25,1,29,15,3,1,52,15,48,13,0,3,29,18,13,13,45,12,0,26,29,11,5,1,40,53,2,2
DjGI000005_009,617,986,948,788,985,1006,1889,634,1185,343,1550,669,1103,1294,965,941,982,766,666,733,1082,1132,437,234,771,1388,858,815
DjGI000005_010,0,0,0,3,22,0,3,26,19,0,21,34,47,68,38,24,33,0,11,5,0,7,0,0,4,0,0,0
DjGI000005_011,3,0,0,17,14,14,0,12,18,0,29,0,10,11,5,6,13,0,0,1,4,0,0,6,1,2,0,4
DjGI000005_012,1,0,0,23,21,0,51,104,135,6,241,316,486,226,303,262,456,0,72,28,85,33,44,11,17,0,10,4
DjGI000006_001,8,42,16,9,20,21,69,85,190,9,177,217,303,154,235,155,165,13,106,52,80,36,38,23,38,11,22,4
DjGI000006_002,2,0,0,0,12,0,26,33,35,2,46,86,122,17,96,60,95,0,16,9,42,17,0,10,25,0,0,0
DjGI000006_003,0,0,0,0,0,1,0,0,0,1,24,0,0,1,0,1,0,0,0,0,0,7,1,0,0,0,0,1
DjGI000006_004,0,0,0,0,6,1,16,6,6,0,8,18,11,21,48,3,15,0,21,4,3,5,0,2,1,0,0,2
DjGI000006_005,0,0,7,7,10,0,35,31,26,0,86,80,86,63,114,98,63,0,38,20,22,1,15,5,8,0,0,1
DjGI000006_006,0,1,0,6,18,0,24,20,8,0,18,30,32,46,42,25,10,0,13,4,2,1,0,8,7,0,0,0
DjGI000007_001,0,0,0,0,0,0,0,0,3,0,0,18,11,0,6,3,6,0,10,0,12,0,0,0,0,0,9,0
DjGI000007_002,0,0,0,0,0,1,10,0,0,1,0,0,12,0,1,0,0,0,0,9,2,17,0,0,1,0,16,0
DjGI000007_003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000007_004,156,129,124,143,158,260,190,254,216,122,442,270,449,610,265,206,215,148,299,143,216,285,90,161,314,356,103,223
DjGI000007_005,46,53,82,66,107,107,80,109,84,38,122,61,83,198,64,54,62,23,96,58,45,22,47,24,35,85,55,111
DjGI000007_006,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,5,5,2,0,1,0,0,0,0
DjGI000007_007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000007_008,2057,1312,1711,1588,1734,1970,3665,1741,1517,642,2684,1801,2538,3540,1367,1286,1328,1487,1513,1100,1992,1691,912,338,1857,4307,999,1442
DjGI000007_009,0,0,0,0,1,0,0,6,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,1,0,0,0,1
DjGI000007_010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000007_011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000008_001,0,9,4,11,17,0,299,264,293,19,431,645,1048,494,856,532,517,5,371,140,215,119,28,30,43,1,24,8
DjGI000008_002,0,0,0,0,1,0,36,18,52,2,86,77,73,64,126,46,48,0,20,30,31,18,0,1,25,1,0,0
DjGI000008_003,5,8,31,0,42,3,69,110,214,20,275,191,291,154,311,251,246,7,30,13,32,4,14,21,41,48,0,0
DjGI000008_004,0,3,0,30,19,2,48,59,118,47,204,219,431,181,277,247,332,0,59,56,102,3,86,32,31,0,0,0
DjGI000008_005,7,17,1,6,17,1,58,33,71,2,103,103,159,72,178,93,80,0,11,3,16,1,21,7,6,0,0,0
DjGI000008_006,53,56,43,29,204,17,1013,995,1670,104,1823,2424,3592,1790,3773,1946,2534,2,886,316,658,227,207,190,266,66,89,33
DjGI000009_001,0,0,0,4,15,18,35,7,14,0,34,0,61,13,80,62,85,11,0,0,7,0,40,0,15,0,0,7
