geneID1,geneID2,cor,pValue,pValueAdjusted
DjGI008464_001,DjGI000637_002,NA,NA,NA
DjGI008464_001,DjGI000637_003,NA,NA,NA
DjGI008464_001,DjGI000641_001,NA,NA,NA
DjGI008464_001,DjGI000641_002,NA,NA,NA
DjGI008464_001,DjGI000641_003,NA,NA,NA
DjGI008464_001,DjGI000641_004,NA,NA,NA
DjGI008464_001,DjGI000643_004,NA,NA,NA
DjGI008464_001,DjGI000644_001,NA,NA,NA
DjGI008464_001,DjGI000644_002,NA,NA,NA
DjGI008464_001,DjGI000644_003,NA,NA,NA
DjGI008464_001,DjGI000644_004,NA,NA,NA
DjGI008464_001,DjGI000645_001,NA,NA,NA
DjGI008464_001,DjGI000645_002,NA,NA,NA
DjGI008464_001,DjGI000645_003,NA,NA,NA
DjGI008464_001,DjGI000645_004,NA,NA,NA
DjGI008464_001,DjGI000647_003,NA,NA,NA
DjGI008464_001,DjGI000647_004,NA,NA,NA
DjGI008464_001,DjGI000649_002,NA,NA,NA
DjGI008464_001,DjGI000650_001,NA,NA,NA
DjGI008464_001,DjGI000650_002,NA,NA,NA
DjGI008464_001,DjGI000650_003,NA,NA,NA
DjGI008464_001,DjGI000651_001,NA,NA,NA
DjGI008464_001,DjGI000651_002,NA,NA,NA
DjGI008464_001,DjGI000651_003,NA,NA,NA
DjGI008464_001,DjGI000654_001,NA,NA,NA
DjGI008464_001,DjGI000654_002,NA,NA,NA
DjGI008464_001,DjGI000654_003,NA,NA,NA
DjGI008464_001,DjGI000654_004,NA,NA,NA
DjGI008464_001,DjGI000655_001,NA,NA,NA
DjGI008464_001,DjGI000660_002,NA,NA,NA
DjGI008464_001,DjGI000661_002,NA,NA,NA
DjGI008464_001,DjGI000662_001,NA,NA,NA
DjGI008464_001,DjGI000665_001,NA,NA,NA
DjGI008464_001,DjGI000668_002,NA,NA,NA
DjGI008464_001,DjGI000677_001,NA,NA,NA
DjGI008464_001,DjGI000677_002,NA,NA,NA
DjGI008464_001,DjGI000677_004,NA,NA,NA
DjGI008464_001,DjGI000677_005,NA,NA,NA
DjGI008464_001,DjGI000681_001,NA,NA,NA
DjGI008464_001,DjGI000681_002,NA,NA,NA
DjGI008464_001,DjGI000682_002,NA,NA,NA
DjGI008464_001,DjGI000682_003,NA,NA,NA
DjGI008464_001,DjGI000682_004,NA,NA,NA
DjGI008464_001,DjGI000682_005,NA,NA,NA
DjGI008464_001,DjGI000684_002,NA,NA,NA
DjGI008464_001,DjGI000687_001,NA,NA,NA
DjGI008464_001,DjGI000687_002,NA,NA,NA
DjGI008464_001,DjGI000687_003,NA,NA,NA
DjGI008464_001,DjGI000689_001,NA,NA,NA
DjGI008464_001,DjGI000689_002,NA,NA,NA
DjGI008464_001,DjGI000691_001,NA,NA,NA
DjGI008464_001,DjGI000691_002,NA,NA,NA
DjGI008464_001,DjGI000691_003,NA,NA,NA
DjGI008464_001,DjGI000691_004,NA,NA,NA
DjGI008464_001,DjGI000704_005,NA,NA,NA
DjGI008464_001,DjGI000705_001,NA,NA,NA
DjGI008464_001,DjGI000705_002,NA,NA,NA
DjGI008464_001,DjGI000705_003,NA,NA,NA
DjGI008464_001,DjGI000706_001,NA,NA,NA
DjGI008464_001,DjGI000706_002,NA,NA,NA
DjGI008464_001,DjGI000706_003,NA,NA,NA
DjGI008464_001,DjGI000706_004,NA,NA,NA
DjGI008464_001,DjGI000706_005,NA,NA,NA
DjGI008464_001,DjGI000756_001,NA,NA,NA
DjGI008464_001,DjGI000756_002,NA,NA,NA
DjGI008464_001,DjGI000758_001,NA,NA,NA
DjGI008464_001,DjGI000765_002,NA,NA,NA
DjGI008464_001,DjGI000772_001,NA,NA,NA
DjGI008464_001,DjGI000772_002,NA,NA,NA
DjGI008464_001,DjGI000775_001,NA,NA,NA
DjGI008464_001,DjGI000775_002,NA,NA,NA
DjGI008464_001,DjGI000781_001,NA,NA,NA
DjGI008464_001,DjGI000781_002,NA,NA,NA
DjGI008464_001,DjGI000781_003,NA,NA,NA
DjGI008464_001,DjGI000781_004,NA,NA,NA
DjGI008464_001,DjGI000783_004,NA,NA,NA
DjGI008464_001,DjGI000787_001,NA,NA,NA
DjGI008464_001,DjGI000787_002,NA,NA,NA
DjGI008464_001,DjGI000787_003,NA,NA,NA
DjGI008464_001,DjGI000790_001,NA,NA,NA
DjGI008464_001,DjGI000791_003,NA,NA,NA
DjGI008464_001,DjGI000791_004,NA,NA,NA
DjGI008464_001,DjGI000794_001,NA,NA,NA
DjGI008464_001,DjGI000794_002,NA,NA,NA
DjGI008464_001,DjGI000794_003,NA,NA,NA
DjGI008464_001,DjGI000795_001,NA,NA,NA
DjGI008464_001,DjGI000795_002,NA,NA,NA
DjGI008464_001,DjGI000795_003,NA,NA,NA
DjGI008464_001,DjGI000795_004,NA,NA,NA
DjGI008464_001,DjGI000796_001,NA,NA,NA
DjGI008464_001,DjGI000797_001,NA,NA,NA
DjGI008464_001,DjGI000797_002,NA,NA,NA
DjGI008464_001,DjGI000797_003,NA,NA,NA
DjGI008464_001,DjGI000797_004,NA,NA,NA
DjGI008464_001,DjGI000799_002,NA,NA,NA
DjGI008464_001,DjGI000799_003,NA,NA,NA
DjGI008464_001,DjGI000799_004,NA,NA,NA
DjGI008464_001,DjGI000801_001,NA,NA,NA
DjGI008464_001,DjGI000801_002,NA,NA,NA
DjGI008464_001,DjGI000801_003,NA,NA,NA
DjGI008464_001,DjGI000802_001,NA,NA,NA
DjGI008464_001,DjGI000802_002,NA,NA,NA
DjGI008464_001,DjGI000802_003,NA,NA,NA
DjGI008464_001,DjGI000802_004,NA,NA,NA
DjGI008464_001,DjGI000803_001,NA,NA,NA
DjGI008464_001,DjGI000803_002,NA,NA,NA
DjGI008464_001,DjGI000803_003,NA,NA,NA
DjGI008464_001,DjGI000803_004,NA,NA,NA
DjGI008464_001,DjGI000823_003,NA,NA,NA
DjGI008464_001,DjGI000827_002,NA,NA,NA
DjGI008464_001,DjGI000831_001,NA,NA,NA
DjGI008464_001,DjGI000831_002,NA,NA,NA
DjGI008464_001,DjGI000835_002,NA,NA,NA
DjGI008464_001,DjGI000838_001,NA,NA,NA
DjGI008464_001,DjGI000846_001,NA,NA,NA
DjGI008464_001,DjGI000846_002,NA,NA,NA
DjGI008464_001,DjGI000848_002,NA,NA,NA
DjGI008464_001,DjGI000848_003,NA,NA,NA
DjGI008464_001,DjGI000854_002,NA,NA,NA
DjGI008464_001,DjGI000857_001,NA,NA,NA
DjGI008464_001,DjGI000857_002,NA,NA,NA
DjGI008464_001,DjGI000858_001,NA,NA,NA
DjGI008464_001,DjGI000858_002,NA,NA,NA
DjGI008464_001,DjGI000859_001,NA,NA,NA
DjGI008464_001,DjGI000859_002,NA,NA,NA
DjGI008464_001,DjGI000860_001,NA,NA,NA
DjGI008464_001,DjGI000861_002,NA,NA,NA
DjGI008464_001,DjGI000861_003,NA,NA,NA
DjGI008464_001,DjGI000862_001,NA,NA,NA
DjGI008464_001,DjGI000862_002,NA,NA,NA
DjGI008464_001,DjGI000865_001,NA,NA,NA
DjGI008464_001,DjGI000938_003,NA,NA,NA
DjGI008464_001,DjGI000947_001,NA,NA,NA
DjGI008464_001,DjGI000947_002,NA,NA,NA
DjGI008464_001,DjGI000951_001,NA,NA,NA
DjGI008464_001,DjGI000951_002,NA,NA,NA
DjGI008464_001,DjGI000959_004,NA,NA,NA
DjGI008464_001,DjGI000964_001,NA,NA,NA
DjGI008464_001,DjGI000967_001,NA,NA,NA
DjGI008464_001,DjGI000969_002,NA,NA,NA
DjGI008464_001,DjGI000983_002,NA,NA,NA
DjGI008464_001,DjGI000983_003,NA,NA,NA
DjGI008464_001,DjGI000983_004,NA,NA,NA
DjGI008464_001,DjGI000989_002,NA,NA,NA
DjGI008464_001,DjGI000996_001,NA,NA,NA
DjGI008464_001,DjGI000996_002,NA,NA,NA
DjGI008464_001,DjGI001000_002,NA,NA,NA
DjGI008464_001,DjGI001001_001,NA,NA,NA
DjGI008464_001,DjGI001001_002,NA,NA,NA
DjGI008464_001,DjGI001001_003,NA,NA,NA
DjGI008464_001,DjGI001001_004,NA,NA,NA
DjGI008464_001,DjGI001012_001,NA,NA,NA
DjGI008464_001,DjGI001012_002,NA,NA,NA
DjGI008464_001,DjGI001014_001,NA,NA,NA
DjGI008464_001,DjGI001014_002,NA,NA,NA
DjGI008464_001,DjGI001014_003,NA,NA,NA
DjGI008464_001,DjGI001014_004,NA,NA,NA
DjGI008464_001,DjGI001015_001,NA,NA,NA
DjGI008464_001,DjGI001015_002,NA,NA,NA
DjGI008464_001,DjGI001023_001,NA,NA,NA
DjGI008464_001,DjGI001023_002,NA,NA,NA
DjGI008464_001,DjGI001024_001,NA,NA,NA
DjGI008464_001,DjGI001024_002,NA,NA,NA
DjGI008464_001,DjGI001026_002,NA,NA,NA
DjGI008464_001,DjGI001027_001,NA,NA,NA
DjGI008464_001,DjGI001027_002,NA,NA,NA
DjGI008464_001,DjGI001030_002,NA,NA,NA
DjGI008464_001,DjGI001035_001,NA,NA,NA
DjGI008464_001,DjGI001035_002,NA,NA,NA
DjGI008464_001,DjGI001036_003,NA,NA,NA
DjGI008464_001,DjGI001039_002,NA,NA,NA
DjGI008464_001,DjGI001039_003,NA,NA,NA
DjGI008464_001,DjGI001040_003,NA,NA,NA
DjGI008464_001,DjGI001040_004,NA,NA,NA
DjGI008464_001,DjGI001043_003,NA,NA,NA
DjGI008464_001,DjGI001045_002,NA,NA,NA
DjGI008464_001,DjGI001046_001,NA,NA,NA
DjGI008464_001,DjGI001046_002,NA,NA,NA
DjGI008464_001,DjGI001049_003,NA,NA,NA
DjGI008464_001,DjGI001049_004,NA,NA,NA
DjGI008464_001,DjGI001054_001,NA,NA,NA
DjGI008464_001,DjGI001054_002,NA,NA,NA
DjGI008464_001,DjGI001058_002,NA,NA,NA
DjGI008464_001,DjGI001058_004,NA,NA,NA
DjGI008464_001,DjGI001060_001,NA,NA,NA
DjGI008464_001,DjGI001060_002,NA,NA,NA
DjGI008464_001,DjGI001060_003,NA,NA,NA
DjGI008464_001,DjGI001060_004,NA,NA,NA
DjGI008464_001,DjGI001063_003,NA,NA,NA
DjGI008464_001,DjGI001063_004,NA,NA,NA
DjGI008464_001,DjGI001064_001,NA,NA,NA
DjGI008464_001,DjGI001064_002,NA,NA,NA
DjGI008464_001,DjGI001064_003,NA,NA,NA
DjGI008464_001,DjGI001064_004,NA,NA,NA
DjGI008464_001,DjGI001065_001,NA,NA,NA
DjGI008464_001,DjGI001065_002,NA,NA,NA
DjGI008464_001,DjGI001065_003,NA,NA,NA
DjGI008464_001,DjGI001065_004,NA,NA,NA
DjGI008464_001,DjGI001066_001,NA,NA,NA
DjGI008464_001,DjGI001066_002,NA,NA,NA
DjGI008464_001,DjGI001066_003,NA,NA,NA
DjGI008464_001,DjGI001067_001,NA,NA,NA
DjGI008464_001,DjGI001067_002,NA,NA,NA
DjGI008464_001,DjGI001067_003,NA,NA,NA
